League,Season,Last Name,FirstName,Age,Country,Team Name,Posistion,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Goals Scored,Total Yellow Cards,Total Red cards,Total YellowRed cards,Goals Per Game Time,Goals Per Appearence,Number of Substituions per Game,Avg Minutes per Appearence,Yellow Card Rate,Red Card Rate,YellowRed Card Rate
First League,2019,Mustafov,Burhan,28,North Macedonia,FK Sileks,Midfielder,3,242.0,0,0,0,1,1,0,0,0.004132231404958678,0.3333333333333333,0.0,80.66666666666667,0.012396694214876032,0.0,0.0
First League,2019,Drašković,Srđan,30,Serbia,FK Sileks,Defender,20,1719.0,1,1,1,1,6,0,0,0.0005817335660267597,0.05,0.1,85.95,0.06980802792321117,0.0,0.0
First League,2019,Blagojević,Dejan,31,Serbia,FK Sileks,Defender,17,1530.0,0,0,0,2,2,0,0,0.00130718954248366,0.11764705882352941,0.0,90.0,0.022222222222222223,0.0,0.0
First League,2019,Jusufi,Meldin,25,Bosnia and Herzegovina,FK Rabotnicki,Midfielder,3,75.0,3,3,3,0,1,0,0,0.0,0.0,2.0,25.0,0.04,0.0,0.0
First League,2019,Desnikj,Dario,29,North Macedonia,Borec,Midfielder,4,288.0,0,0,0,1,1,0,0,0.003472222222222222,0.25,0.0,72.0,0.013888888888888888,0.0,0.0
First League,2019,Jusuf,Alpaj,24,North Macedonia,FK Sileks,Midfielder,10,359.0,7,7,7,0,3,0,0,0.0,0.0,1.4,35.9,0.08356545961002786,0.0,0.0
First League,2019,Fetai,Saimir,33,North Macedonia,KF Renova,Midfielder,20,1678.0,1,1,1,0,4,0,0,0.0,0.0,0.1,83.9,0.04767580452920143,0.0,0.0
First League,2019,Sadiki,Burim,33,North Macedonia,KF Renova,Midfielder,22,1915.0,0,0,0,0,8,0,1,0.0,0.0,0.0,87.04545454545455,0.09190600522193211,0.0,0.011488250652741514
First League,2019,Fazliju,Ljavdrim,23,North Macedonia,FK Rabotnicki,Midfielder,8,286.0,5,5,5,0,0,0,0,0.0,0.0,1.25,35.75,0.0,0.0,0.0
First League,2019,Redzhepi,Fitor,22,North Macedonia,FK Vardar,Defender,3,35.0,3,3,3,0,0,0,0,0.0,0.0,2.0,11.666666666666666,0.0,0.0,0.0
First League,2019,Kostovski,Kristijan,27,North Macedonia,FK Sileks,Attacker,19,1096.0,7,7,7,3,5,0,0,0.002737226277372263,0.15789473684210525,0.7368421052631579,57.68421052631579,0.08667883211678833,0.0,0.0
First League,2019,Silva Gomes,Yaggo Vitorino,29,Brazil,FK Rabotnicki,Attacker,13,902.0,2,2,2,0,3,0,0,0.0,0.0,0.3076923076923077,69.38461538461539,0.043237250554323724,0.0,0.0
First League,2019,Skenderi,Ljavdrim,27,North Macedonia,KF Renova,Attacker,6,38.0,6,6,6,0,1,0,0,0.0,0.0,2.0,6.333333333333333,0.15789473684210528,0.0,0.0
First League,2019,Panovski,Borjan,22,North Macedonia,FK Rabotnicki,Defender,4,30.0,4,4,4,0,1,0,0,0.0,0.0,2.0,7.5,0.13333333333333333,0.0,0.0
First League,2019,Gjorgievski,Mikica,29,North Macedonia,Borec,Goalkeeper,6,540.0,0,0,0,0,1,0,0,0.0,0.0,0.0,90.0,0.011111111111111112,0.0,0.0
First League,2019,Stojkovski,Trajche,33,North Macedonia,Borec,Defender,21,1863.0,0,0,0,0,7,0,0,0.0,0.0,0.0,88.71428571428571,0.07890499194847021,0.0,0.0
First League,2019,Bekjiri,Ilber,21,North Macedonia,KF Renova,Defender,4,19.0,4,4,4,0,0,0,0,0.0,0.0,2.0,4.75,0.0,0.0,0.0
First League,2019,Taipi,Alban,20,North Macedonia,KF Renova,Attacker,3,107.0,1,1,1,0,0,0,0,0.0,0.0,0.6666666666666666,35.666666666666664,0.0,0.0,0.0
First League,2019,Velev,Jovan,20,Serbia,Borec,Midfielder,1,0.0,1,1,1,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
First League,2019,Kosteski,Mario,20,North Macedonia,FK Rabotnicki,Attacker,1,9.0,1,1,1,0,0,0,0,0.0,0.0,2.0,9.0,0.0,0.0,0.0
First League,2019,Prelčec,Nikola,33,Serbia,Borec,Attacker,22,1936.0,0,0,0,9,3,0,0,0.0046487603305785125,0.4090909090909091,0.0,88.0,0.03409090909090909,0.0,0.0
First League,2019,Osman,Filip,30,Serbia,FK Sileks,Midfielder,3,71.0,3,3,3,0,2,0,0,0.0,0.0,2.0,23.666666666666668,0.08450704225352113,0.0,0.0
First League,2019,Đorđević,Draško,29,Serbia,FK Rabotnicki,Defender,5,450.0,0,0,0,0,1,0,0,0.0,0.0,0.0,90.0,0.011111111111111112,0.0,0.0
First League,2019,Ristov,Denis,31,Serbia,FK Sileks,Midfielder,10,641.0,2,2,2,1,2,0,0,0.0015600624024961,0.1,0.4,64.1,0.031201248049921998,0.0,0.0
First League,2019,Ristovski,Filip,26,North Macedonia,Borec,Defender,14,1210.0,1,1,1,0,3,0,0,0.0,0.0,0.14285714285714285,86.42857142857143,0.03471074380165289,0.0,0.0
First League,2019,Novak,Yevhen,34,Ukraine,FK Vardar,Defender,21,1883.0,0,0,0,1,3,0,0,0.0005310674455655868,0.047619047619047616,0.0,89.66666666666667,0.03345724907063197,0.0,0.0
First League,2019,Tanushev,Gjorgi,32,North Macedonia,Brera Strumica,Midfielder,19,1155.0,5,5,5,1,1,0,0,0.0008658008658008658,0.05263157894736842,0.5263157894736842,60.78947368421053,0.01645021645021645,0.0,0.0
First League,2019,Kostov,Stefan,27,North Macedonia,Brera Strumica,Midfielder,9,571.0,2,2,2,0,2,1,0,0.0,0.0,0.4444444444444444,63.44444444444444,0.03152364273204904,0.01576182136602452,0.0
First League,2019,Pandev,Sashko,36,North Macedonia,Brera Strumica,Attacker,23,1468.0,4,4,4,3,4,0,0,0.0020435967302452314,0.13043478260869565,0.34782608695652173,63.82608695652174,0.06267029972752043,0.0,0.0
First League,2019,Kolevski,Bojan,21,North Macedonia,FK Vardar,Attacker,18,803.0,10,10,10,1,1,0,0,0.0012453300124533001,0.05555555555555555,1.1111111111111112,44.611111111111114,0.0224159402241594,0.0,0.0
First League,2019,Gafuri,Argjent,34,North Macedonia,KF Renova,Midfielder,22,1980.0,0,0,0,4,4,0,0,0.00202020202020202,0.18181818181818182,0.0,90.0,0.044444444444444446,0.0,0.0
First League,2019,Grozdanoski,Hristijan,30,North Macedonia,FK Sileks,Defender,15,1268.0,1,1,1,0,4,0,0,0.0,0.0,0.13333333333333333,84.53333333333333,0.04731861198738171,0.0,0.0
First League,2019,Cordoba,Alexander Borja,25,Colombia,FK Rabotnicki,Defender,7,357.0,4,4,4,1,1,0,0,0.0028011204481792717,0.14285714285714285,1.1428571428571428,51.0,0.0196078431372549,0.0,0.0
First League,2019,Hristov,Simeon,31,North Macedonia,Borec,Attacker,15,1208.0,1,1,1,3,2,0,0,0.0024834437086092716,0.2,0.13333333333333333,80.53333333333333,0.024834437086092717,0.0,0.0
First League,2019,Petrov,Filip,33,North Macedonia,Borec,Attacker,9,386.0,5,5,5,0,1,0,1,0.0,0.0,1.1111111111111112,42.888888888888886,0.023316062176165806,0.0,0.023316062176165806
First League,2019,Anastasov,Aleksandar,28,North Macedonia,Borec,Midfielder,3,39.0,3,3,3,0,0,0,0,0.0,0.0,2.0,13.0,0.0,0.0,0.0
First League,2019,Kocev,Robert,29,North Macedonia,Borec,Midfielder,23,1906.0,2,2,2,1,3,0,0,0.0005246589716684155,0.043478260869565216,0.17391304347826086,82.8695652173913,0.03620146904512067,0.0,0.0
First League,2019,Trajkov,Trajche,30,North Macedonia,Borec,Midfielder,14,301.0,13,13,13,0,7,0,0,0.0,0.0,1.8571428571428572,21.5,0.32558139534883723,0.0,0.0
First League,2019,Risteski,Nikola,27,North Macedonia,Borec,Defender,5,432.0,0,0,0,0,2,0,0,0.0,0.0,0.0,86.4,0.023148148148148147,0.0,0.0
First League,2019,Kostovski,Filip,20,North Macedonia,FK Sileks,Defender,4,158.0,1,1,1,0,0,0,0,0.0,0.0,0.5,39.5,0.0,0.0,0.0
First League,2019,Marinković,Nenad,32,Serbia,FK Sileks,Midfielder,4,197.0,3,3,3,0,0,0,0,0.0,0.0,1.5,49.25,0.0,0.0,0.0
First League,2019,Đurić,Stefan,26,Serbia,FK Sileks,Attacker,20,842.0,16,16,16,1,3,0,0,0.0011876484560570072,0.05,1.6,42.1,0.07125890736342043,0.0,0.0
First League,2019,Radović,Nikola,29,Serbia,Borec,Attacker,5,435.0,0,0,0,3,3,0,0,0.006896551724137931,0.6,0.0,87.0,0.034482758620689655,0.0,0.0
