First Name,Last Name,Age,Birth Place,Birth Country,Team ID,Team Name,Start Date,End Date
Gorazd,Mihajlov,51,None,North Macedonia,574,Vardar Skopje,2023-12-01,
Gorazd,Mihajlov,51,None,North Macedonia,4331,Sileks,2021-06-01,2023-12-01
Gorazd,Mihajlov,51,None,North Macedonia,4334,Borec Veles,2018-07-01,2021-01-01
Gorazd,Mihajlov,51,None,North Macedonia,693,Pelister,2012-07-01,2012-11-01
Jeton,Bekjiri,42,Tetovo,North Macedonia,609,Shkendija,2024-01-01,
Jeton,Bekjiri,42,Tetovo,North Macedonia,4346,Struga,2019-07-01,2020-03-01
Jeton,Bekjiri,42,Tetovo,North Macedonia,4330,Renova,2018-06-01,2018-09-01
Jeton,Bekjiri,42,Tetovo,North Macedonia,609,Shkendija,2016-10-01,2016-12-01
Jeton,Bekjiri,42,Tetovo,North Macedonia,609,Shkendija,2015-03-01,2015-06-01
Aleksandar,Vlaho,48,None,North Macedonia,663,Rabotnički,2021-01-01,2021-11-01
Aleksandar,Vlaho,48,None,North Macedonia,663,Rabotnički,2019-07-01,2019-10-01
Mladen,Žižović,0,None,Bosnia and Herzegovina,2265,Shkupi,2023-09-01,
Panche,Stojanov,43,None,FYR Macedonia,4194,Akademija Pandev,2016-07-01,2018-03-05
Aleksandar,Tanevski,0,None,North Macedonia,4196,Makedonija GjP,2021-04-01,2021-10-01
Aleksandar,Tanevski,0,None,North Macedonia,4194,Akademija Pandev,2020-03-01,2020-09-01
Aleksandar,Tanevski,0,None,North Macedonia,4196,Makedonija GjP,2018-06-01,2019-11-01
Bujar,Islami,0,None,North Macedonia,4330,Renova,2019-07-01,2020-11-01
Bujar,Islami,0,None,North Macedonia,4330,Renova,2011-07-01,2011-08-01
Aleksandar,Vasoski,45,Skopje,North Macedonia,4331,Sileks,2023-12-01,
Aleksandar,Vasoski,45,Skopje,North Macedonia,574,Vardar Skopje,2023-08-01,2023-12-01
Aleksandar,Vasoski,45,Skopje,North Macedonia,4194,Akademija Pandev,2022-09-01,2023-05-01
Aleksandar,Vasoski,45,Skopje,North Macedonia,4194,Akademija Pandev,2020-12-01,2022-01-01
Aleksandar,Vasoski,45,Skopje,North Macedonia,574,Vardar Skopje,2018-07-01,2020-12-01
Jane,Nikoloski,51,Prilep,North Macedonia,4334,Borec Veles,2021-10-01,2022-01-01
Jane,Nikoloski,51,Prilep,North Macedonia,4329,Pobeda,2018-11-01,2019-03-01
Shpëtim,Duro,65,Tiranë,Albania,4346,Struga,2023-03-01,
Shpëtim,Duro,65,Tiranë,Albania,609,Shkendija,2015-06-01,2015-12-01
Shpëtim,Duro,65,Tiranë,Albania,609,Shkendija,2013-11-01,2014-05-01
Zoran,Shterjovski,0,None,North Macedonia,693,Pelister,2019-11-01,2020-11-01
Zoran,Shterjovski,0,None,North Macedonia,4329,Pobeda,2016-09-01,2017-09-01
Zoran,Shterjovski,0,None,North Macedonia,4331,Sileks,2015-01-01,2015-06-01
Gjorgje,Jovanovski,68,Skopje,North Macedonia,4328,Belasica,2021-01-01,2021-03-01
Gjorgje,Jovanovski,68,Skopje,North Macedonia,663,Rabotnički,2018-04-01,2018-10-01
Gjorgje,Jovanovski,68,Skopje,North Macedonia,4333,Bregalnica Štip,2014-07-01,2014-11-01
Gjorgje,Jovanovski,68,Skopje,North Macedonia,609,Shkendija,2013-08-01,2013-11-01
Gjorgje,Jovanovski,68,Skopje,North Macedonia,663,Rabotnički,2011-11-01,2011-12-01
Gjorgje,Jovanovski,68,Skopje,North Macedonia,663,Rabotnički,2005-07-01,2006-08-01
Slavcho,Georgievski,44,None,North Macedonia,4332,Skopje,2022-07-01,2023-03-01
Zdravko,Cvetanoski,53,None,FYR Macedonia,4333,Bregalnica Štip,2016-11-03,2017-03-31
Vlatko,Kostov,59,None,North Macedonia,4348,Tikvesh,2021-09-01,2022-09-01
Vlatko,Kostov,59,None,North Macedonia,4330,Renova,2017-07-01,2018-04-01
Vlatko,Kostov,59,None,North Macedonia,4333,Bregalnica Štip,2015-01-01,2015-09-01
Vlatko,Kostov,59,None,North Macedonia,4330,Renova,2011-08-01,2012-08-01
Rade,Cicmilovikj,0,None,North Macedonia,17663,Voska Sport,2021-11-01,2022-05-01
Rade,Cicmilovikj,0,None,North Macedonia,4328,Belasica,2019-01-01,2019-03-01
Blagojche,Dameski,43,None,North Macedonia,4329,Pobeda,2023-01-01,
Ismail,Atalan,44,None,Germany,4338,KF Gostivari,2024-01-01,
