League,Season,Last Name,FirstName,Age,City,Country,Team Name,Posistion,Player Number,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Goals Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribble Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red cards,Total YellowRed cards,Number of Penalties Won,Number of Penalties Commited,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
First League,2019,Mustafov,Burhan,28.0,"
    ",North Macedonia,Sileks,Midfielder,,3.0,242.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Drašković,Srđan,30.0,Beograd,Serbia,Sileks,Defender,,20.0,1719.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,
First League,2019,Blagojević,Dejan,31.0,Vlasotince,Serbia,Sileks,Defender,,17.0,1530.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Jusufi,Meldin,25.0,,Bosnia and Herzegovina,FK Rabotnicki,Midfielder,,3.0,75.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Desnikj,Dario,29.0,,North Macedonia,Borec,Midfielder,,4.0,288.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Jusuf,Alpaj,24.0,"
    ",North Macedonia,Sileks,Midfielder,,10.0,359.0,7.0,7.0,7.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Fetai,Saimir,33.0,"
    ",North Macedonia,Renova,Midfielder,,20.0,1678.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Sadiki,Burim,33.0,"
    ",North Macedonia,Renova,Midfielder,,22.0,1915.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,8.0,0.0,1.0,,,,,
First League,2019,Fazliju,Ljavdrim,23.0,"
    ",North Macedonia,FK Rabotnicki,Midfielder,,8.0,286.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Redzhepi,Fitor,22.0,"
    ",North Macedonia,Vardar Skopje,Defender,,3.0,35.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
