League,Season,Last Name,First Name,Age,City,Country,Team Name,Position,Player Number,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribbles Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Won,Number of Penalties Committed,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
Championship,2022,Garborg Fjørtoft,Markus,28.0,Swindon,England,Ayr Utd,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Graham,Brian,36.0,Glasgow,Scotland,Partick,Attacker,,31.0,2299.0,2.0,22.0,2.0,,,13.0,,,,,,,,,,,,,,,,,6.0,1.0,0.0,,,,,
Championship,2022,Elliott,Christie James,31.0,Newcastle,England,Dundee,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Swankie,Gavin,39.0,Arbroath,Scotland,Arbroath,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,MacKay,David Robert,41.0,Glasgow,Scotland,Dundee,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Gallacher,John,21.0,Greenock,Scotland,Morton,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Duffy,Aidan,20.0,"
    ",Scotland,Morton,Attacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Mauchin,Zach,0.0,"
    ",Scotland,Queen's Park,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Donald,Craig,18.0,,Scotland,Dundee,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,May,Cammy,19.0,,Scotland,Hamilton Academical,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Championship,2022,Bysouth,Joshua,18.0,"
    ",Scotland,Morton,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
